% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 73.06    2.105910        1385      1520       300 futex
 11.48    0.330986         303      1089         4 epoll_pwait
 10.42    0.300303         194      1546           nanosleep
  1.67    0.048073          91       526         6 write
  0.81    0.023374          82       285           ioctl
  0.45    0.013050          63       204        47 read
  0.29    0.008243         128        64         4 rt_sigreturn
  0.27    0.007665         119        64           tgkill
  0.23    0.006741         105        64           getpid
  0.15    0.004188          46        91           mmap
  0.13    0.003853          96        40           pread64
  0.13    0.003841          60        63           rt_sigprocmask
  0.13    0.003710          46        80           sched_yield
  0.11    0.003223         358         9           clone3
  0.09    0.002503          80        31           sched_getaffinity
  0.09    0.002465        2465         1           execve
  0.08    0.002442          66        37           prctl
  0.06    0.001666          14       114           rt_sigaction
  0.04    0.001215          36        33        13 newfstatat
  0.04    0.001141         103        11           madvise
  0.04    0.001082          54        20           sigaltstack
  0.03    0.000931          51        18           mprotect
  0.03    0.000888          27        32           pselect6
  0.03    0.000876          97         9           munmap
  0.03    0.000753          34        22         4 openat
  0.02    0.000497          49        10           gettid
  0.02    0.000443          44        10           rseq
  0.01    0.000358          21        17           close
  0.01    0.000319          22        14           fcntl
  0.01    0.000301          75         4           getdents64
  0.01    0.000257          25        10           set_robust_list
  0.01    0.000250          25        10           fstat
  0.01    0.000211          52         4           readlinkat
  0.00    0.000108          27         4         2 epoll_ctl
  0.00    0.000098          24         4           prlimit64
  0.00    0.000090          30         3           brk
  0.00    0.000040          40         1           eventfd2
  0.00    0.000040          40         1           getrandom
  0.00    0.000035          35         1         1 access
  0.00    0.000024          24         1           epoll_create1
  0.00    0.000019          19         1           arch_prctl
  0.00    0.000018          18         1           set_tid_address
  0.00    0.000014          14         1           getpgid
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1         1 connect
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0         1           getpeername
  0.00    0.000000           0         5           setsockopt
  0.00    0.000000           0         1           getsockopt
------ ----------- ----------- --------- --------- ------------------
100.00    2.882244         474      6080       382 total
